id,count
0,101.29
1,205.03
2,87.58
4,33.78
5,76.47
10,122.01
11,206.11
12,313.41
15,34.26
17,121.21
18,302.52
23,251.74
25,86.1
26,39.32
31,217.84
39,154.62
40,26.94
41,192.29
42,364.32
43,155.43
51,217.4
52,89.93
54,16.86
60,140.22
61,145.04
62,113.53
63,32.64
65,115.59
66,112.31
68,153.32
71,77.95
80,30.55
82,69.17
94,129.87
98,275.02
101,34.59
102,127.01
107,83.63
112,235.52
113,72.75
115,57.07
116,121.86
120,150.95
121,77.79
122,332.1
132,186.58
143,85.37
147,65.66
150,16.48
151,85.42
152,227.77
153,91.71
155,183.45
156,83.03
159,188.13
161,151.4
163,46.38
177,172.94
186,14.26
188,18.39
190,84.89
191,74.76
192,267.12
195,310.1
200,137.83
209,316.61
210,15.78
211,246.01
214,103.97
215,26.8
218,100.38
219,32.47
222,139.46
225,14.25
228,321.98
236,219.89
241,34.38
242,169.43
243,224.87
245,19.18
247,253.73
251,123.75
252,82.15
253,85.08
254,86.12
258,332.68
260,59.2
261,164.88
265,114.61
266,291.07
267,296.53
269,163.51
270,70.73
275,98.01
278,33.58
279,82.89
286,88.66
287,28.59
288,234.86
289,131.19
293,18.07
294,140.51
297,46.56
302,122.79
303,60.39
304,77.57
307,100.81
309,17.33
311,169.83
312,132.56
314,179.76
315,230.71
319,157.66
322,119.53
323,70.05
325,136.46
327,257.53
330,33.62
332,181.36
333,17.15
338,103.14
341,111.52
345,203.48
348,121.92
349,46.88
350,115.51
352,57.37
355,14.82
356,230.56
358,58.02
363,135.98
369,155.76
371,17.01
372,144.05
375,305.7
380,131.94
388,46.23
391,138.06
392,264.68
393,372.43
394,201.96
396,28.59
401,40.32
407,108.54
409,85.7
410,112.99
416,107.43
418,119.44
420,158.13
421,224.6
422,126.26
424,292.0
428,333.85
429,235.84
431,158.48
435,10.45
439,112.59
441,12.01
447,94.71
449,145.59
451,139.36
452,15.47
454,210.62
458,232.41
463,126.21
467,14.51
470,256.62
471,161.02
474,296.29
478,16.84
483,122.29
484,129.87
485,89.81
486,130.16
491,101.81
494,101.96
495,242.38
497,220.58
499,152.63
515,111.68
518,204.97
521,173.64
525,165.12
529,234.26
532,154.16
534,108.51
540,112.32
544,300.4
547,163.3
549,46.9
563,35.69
564,142.57
567,119.26
572,110.08
577,134.74
578,277.65
585,337.52
588,140.28
589,129.03
590,106.63
592,17.27
594,234.9
596,13.85
598,326.77
599,147.98
605,39.64
606,132.44
607,249.87
608,218.38
609,69.92
610,279.38
611,179.36
614,123.76
615,215.34
616,256.45
617,123.0
618,249.02
624,119.14
629,137.17
631,89.39
633,92.95
637,26.1
638,105.21
643,74.23
644,134.32
645,32.4
646,208.91
648,183.85
650,38.84
651,199.8
652,264.56
656,108.96
657,19.74
659,65.43
660,196.17
662,99.72
665,383.71
675,312.04
681,163.75
682,206.65
685,20.1
686,217.2
689,27.25
696,146.09
703,140.9
704,97.26
705,110.68
714,233.97
717,100.82
718,15.26
720,85.73
721,248.37
723,235.96
726,188.46
728,138.94
730,195.57
731,26.37
734,347.8
737,75.61
738,18.5
745,162.86
746,28.45
749,233.72
752,27.67
753,179.6
758,253.31
765,15.84
766,232.29
768,86.6
769,190.76
774,131.14
775,105.83
781,57.56
784,329.0
794,19.65
795,264.15
796,87.55
802,161.36
803,223.0
805,32.32
806,293.09
807,103.15
809,15.62
810,162.29
812,188.41
814,118.31
818,243.03
819,130.66
825,68.95
836,117.79
839,119.4
847,265.02
848,176.54
851,121.34
852,138.89
853,36.85
857,155.66
858,43.1
859,224.52
861,24.29
867,97.02
870,205.48
871,227.63
872,230.74
874,366.27
881,187.3
886,139.17
890,58.21
895,166.53
899,89.55
900,265.04
901,257.58
902,248.96
903,38.87
913,270.26
918,189.84
923,110.23
924,34.15
926,23.97
927,18.56
930,221.76
934,32.05
937,117.61
939,147.77
941,94.93
942,366.71
946,287.03
950,100.92
953,78.0
959,106.17
961,29.38
962,101.03
964,74.42
969,182.46
971,150.35
976,41.49
978,251.41
980,248.57
981,156.77
990,360.78
993,18.68
996,19.64
998,308.12
999,175.99
1006,123.92
1008,15.22
1013,32.93
1015,99.1
1016,124.31
1022,303.04
1026,225.87
1028,231.74
1031,52.94
1034,54.77
1037,198.48
1040,67.17
1042,19.01
1046,19.78
1048,101.9
1049,108.7
1050,70.35
1051,213.27
1052,253.84
1055,185.46
1060,171.41
1064,30.27
1066,71.62
1071,95.58
1073,13.57
1089,205.5
1091,85.28
1092,69.1
1093,236.2
1096,310.37
1097,218.45
1098,17.54
1099,38.79
1102,174.8
1107,102.8
1109,41.35
1111,124.97
1112,117.87
1114,309.27
1116,303.36
1117,125.93
1118,70.78
1122,129.62
1124,157.64
1127,119.25
1133,234.1
1134,37.0
1135,119.49
1139,299.51
1143,56.96
1150,120.91
1151,115.27
1153,270.7
1155,27.93
1162,28.58
1163,191.07
1166,23.47
1171,86.85
1172,14.61
1173,271.29
1174,81.73
1177,117.92
1178,159.65
1184,183.2
1185,114.59
1186,121.88
1187,145.15
1188,294.0
1191,140.38
1207,120.92
1213,47.36
1215,132.53
1223,164.67
1227,120.4
1236,59.22
1237,53.89
1238,18.09
1241,31.76
1248,16.95
1250,38.96
1251,166.34
1253,117.03
1255,98.37
1257,174.16
1261,112.5
1262,327.88
1265,125.48
1273,171.93
1277,267.89
1278,115.25
1280,116.51
1284,232.92
1285,324.91
1288,35.57
1295,119.31
1297,343.23
1299,262.76
1304,145.66
1308,42.68
1310,97.51
1311,111.24
1314,102.0
1315,111.69
1318,31.6
1320,318.68
1321,298.97
1322,233.47
1330,115.21
1333,157.54
1334,235.62
1341,136.56
1344,147.96
1351,239.49
1354,107.64
1356,59.48
1363,123.51
1365,209.3
1369,127.39
1373,118.71
1375,117.16
1377,91.14
1379,130.12
1380,282.73
1381,96.44
1384,169.63
1390,195.48
1393,244.29
1395,57.57
1399,333.09
1400,84.41
1401,163.52
1404,162.17
1408,13.6
1409,30.01
1413,231.21
1416,289.77
1418,103.77
1423,105.96
1424,27.8
1425,16.09
1433,269.43
1434,150.43
1436,345.96
1442,260.25
1444,85.72
1445,99.53
1452,219.13
1455,165.94
1462,70.76
1467,69.9
1472,44.67
1475,187.18
1493,109.77
1501,227.1
1503,303.22
1504,212.28
1505,13.59
1511,219.28
1512,55.52
1513,82.82
1514,38.44
1528,246.08
1533,228.59
1534,29.89
1536,149.61
1537,68.53
1539,250.77
1550,229.23
1552,210.84
1554,213.74
1555,364.4
1556,101.12
1559,37.95
1563,256.09
1566,145.86
1567,153.89
1568,30.92
1571,230.66
1572,18.46
1574,53.34
1577,17.89
1583,84.36
1585,29.75
1586,208.86
1587,192.66
1596,161.22
1602,35.25
1604,79.78
1605,35.38
1610,306.97
1611,98.44
1616,36.54
1617,101.96
1618,16.05
1622,45.3
1623,31.8
1628,306.77
1631,17.4
1632,176.38
1633,249.86
1634,305.2
1636,225.19
1637,101.63
1643,138.04
1644,103.96
1646,96.98
1648,205.87
1651,33.06
1656,18.48
1658,146.82
1659,16.38
1665,180.1
1666,144.32
1670,39.05
1674,150.32
1679,210.55
1680,217.34
1683,351.05
